node,embed
0x6b9f031d718dded0d681c20cb754f97b3bb81b78,"[0.052098095417022705, -0.009889824315905571, 0.1831657439470291, 0.12907128036022186, 0.246075838804245, -0.012487287633121014, 0.04531985521316528, 0.07663071900606155, -0.09576920419931412, 0.022284865379333496, -0.060231175273656845, 0.17355242371559143, 0.11329396069049835, -0.009700859896838665, 0.121832475066185, -0.0025623678229749203, -0.02717737667262554, -0.08009786903858185, -0.045389994978904724, -0.03783244267106056, -0.0930691808462143, 0.009002032689750195, 0.006582396570593119, 0.1844729334115982, 0.13098649680614471, -0.04206523671746254, 0.05684499815106392, 0.23574665188789368, -0.12184815853834152, 0.1942339539527893, -0.18373164534568787, 0.020090708509087563, -0.2433592975139618, 0.016394516453146935, -0.16845235228538513, 0.21413639187812805, -0.030930794775485992, 0.10298248380422592, -0.16354575753211975, -0.004311937838792801, 0.10058712214231491, 0.015500698238611221, -0.05996522307395935, 0.17458362877368927, 0.09057436883449554, -0.09326448291540146, -0.14195632934570312, 0.19288119673728943, -0.16757072508335114, -0.06732305139303207, -0.04222409799695015, 0.08821996301412582, -0.2095557600259781, -0.00017184288299176842, 0.14251559972763062, 0.22552643716335297, 0.003292109351605177, 0.19971327483654022, 0.22519712150096893, -0.041360966861248016, -0.03584698215126991, -0.17278419435024261, -0.02849346213042736, -0.13014644384384155]"
0xae6ad38e2293c3e2bb5936edcbf005b135fb168a,"[-0.07948683202266693, 0.06997358798980713, -0.030094733461737633, 0.09093841165304184, 0.19812987744808197, 0.010260178707540035, -0.08188516646623611, 0.11545144021511078, -0.08024334907531738, 0.12411628663539886, -0.09231453388929367, 0.014515835791826248, 0.09283497929573059, -0.004315535072237253, 0.0658961832523346, -0.03697392717003822, -0.03906785324215889, 0.11641711741685867, 0.03770333155989647, -0.10418519377708435, -0.09322196245193481, -0.06328350305557251, -0.17836137115955353, 0.15442490577697754, 0.05934460833668709, 0.0316949188709259, 0.1213972419500351, 0.20601408183574677, -0.04222780466079712, 0.1751844584941864, -0.12443839013576508, 0.049708377569913864, -0.05975554138422012, 0.047106172889471054, -0.1349729299545288, 0.18287178874015808, -0.01346592791378498, 0.14839980006217957, -0.22794131934642792, -0.12955789268016815, 0.032162297517061234, 0.023342648521065712, -0.16687890887260437, 0.10435860604047775, -0.038991350680589676, 0.01166452281177044, -0.06728972494602203, 0.1744556427001953, 0.03604091703891754, -0.02437291294336319, 0.005238838028162718, -0.1231331005692482, -0.07117372751235962, -0.15291309356689453, 0.09111516922712326, 0.3232406973838806, -0.16502465307712555, 0.2043600082397461, 0.3503681719303131, -0.20081762969493866, 0.014476725831627846, -0.18913157284259796, 0.08398802578449249, -0.09317487478256226]"
0x1d8224b798e29f98379ab429aa716cdfe320c784,"[-0.08001991361379623, 0.07319419085979462, -0.02963809296488762, 0.09166861325502396, 0.19519688189029694, 0.0107804574072361, -0.08674271404743195, 0.1205255389213562, -0.08206503838300705, 0.1245545744895935, -0.08742918074131012, 0.010692468844354153, 0.09654346108436584, -0.002546051749959588, 0.0653906837105751, -0.03782031312584877, -0.03746146336197853, 0.11652977019548416, 0.03391008451581001, -0.099948450922966, -0.09284546226263046, -0.06366416811943054, -0.1769406795501709, 0.15172138810157776, 0.056886471807956696, 0.03643022105097771, 0.12277484685182571, 0.20963048934936523, -0.04181976243853569, 0.17668785154819489, -0.1258438527584076, 0.0535070039331913, -0.053445398807525635, 0.05519187077879906, -0.1335017830133438, 0.18311619758605957, -0.014036842621862888, 0.14932523667812347, -0.22919581830501556, -0.12891113758087158, 0.029051683843135834, 0.023886358365416527, -0.1658155918121338, 0.0969097688794136, -0.040009211748838425, 0.020946407690644264, -0.0650690570473671, 0.17704534530639648, 0.037660863250494, -0.023868324235081673, 0.00473002390936017, -0.12336534261703491, -0.0693332701921463, -0.15994395315647125, 0.09290856868028641, 0.3195492625236511, -0.16235537827014923, 0.1985180377960205, 0.3500957489013672, -0.2040156126022339, 0.019307950511574745, -0.1877092570066452, 0.08579444885253906, -0.0957518145442009]"
0xbf2179859fc6d5bee9bf9158632dc51678a4100e,"[0.05209808796644211, -0.0098898159340024, 0.1831657737493515, 0.12907129526138306, 0.2460758537054062, -0.012487283907830715, 0.04531985521316528, 0.07663070410490036, -0.09576915204524994, 0.022284893319010735, -0.06023117154836655, 0.17355242371559143, 0.11329399049282074, -0.009700900875031948, 0.121832475066185, -0.0025623489636927843, -0.027177361771464348, -0.08009781688451767, -0.04539000615477562, -0.037832457572221756, -0.0930691584944725, 0.009001994505524635, 0.006582355592399836, 0.184472918510437, 0.13098646700382233, -0.04206523671746254, 0.05684499070048332, 0.2357466071844101, -0.12184818834066391, 0.1942339539527893, -0.18373166024684906, 0.020090723410248756, -0.24335934221744537, 0.016394495964050293, -0.16845232248306274, 0.21413639187812805, -0.030930781736969948, 0.1029825359582901, -0.16354575753211975, -0.0043119583278894424, 0.1005871519446373, 0.015500657260417938, -0.059965211898088455, 0.17458365857601166, 0.09057436883449554, -0.09326448291540146, -0.1419563740491867, 0.192881241440773, -0.16757071018218994, -0.06732305139303207, -0.04222416505217552, 0.08821996301412582, -0.2095557451248169, -0.0001717943960102275, 0.14251556992530823, 0.22552643716335297, 0.0032920888625085354, 0.19971324503421783, 0.22519713640213013, -0.041360966861248016, -0.035846956074237823, -0.17278416454792023, -0.028493482619524002, -0.13014647364616394]"
0x53f09e87846c6124d2195882e5ffc5355e025539,"[-0.0767044648528099, 0.06692790240049362, -0.02552538923919201, 0.09386789798736572, 0.2117166370153427, 0.0028362260200083256, -0.0836196020245552, 0.11351533234119415, -0.0773693099617958, 0.1273183524608612, -0.09277267754077911, 0.024438466876745224, 0.0973486453294754, -0.005408932454884052, 0.06653487682342529, -0.03985370323061943, -0.04681430011987686, 0.10320156067609787, 0.041328832507133484, -0.11267180740833282, -0.08671197295188904, -0.06828813254833221, -0.17363694310188293, 0.15086279809474945, 0.061025362461805344, 0.03649269789457321, 0.11471594125032425, 0.20143036544322968, -0.03288000449538231, 0.18093594908714294, -0.12780514359474182, 0.04836570844054222, -0.0768088847398758, 0.04248331859707832, -0.1389816701412201, 0.1860465258359909, -0.01528636459261179, 0.1662985235452652, -0.23138593137264252, -0.1264529526233673, 0.027287131175398827, 0.011209041811525822, -0.17035795748233795, 0.1129530668258667, -0.03446781635284424, 0.004715613089501858, -0.07152244448661804, 0.17391154170036316, 0.028968429192900658, -0.030084941536188126, 0.0069272201508283615, -0.10649675130844116, -0.07157497107982635, -0.14266665279865265, 0.08820373564958572, 0.31486696004867554, -0.1637832671403885, 0.1999426931142807, 0.3495142459869385, -0.20526793599128723, 0.007061991840600967, -0.18426518142223358, 0.0859331414103508, -0.09291844069957733]"
0xbbf99342e803340da3c56b9710bcdec58b477010,"[-0.07208096981048584, 0.06988713145256042, -0.01301430631428957, 0.09790320694446564, 0.21378964185714722, 0.0012717392528429627, -0.09272902458906174, 0.11287922412157059, -0.09450078755617142, 0.11390621960163116, -0.08995162695646286, 0.011139335110783577, 0.09502439200878143, -0.002054547891020775, 0.07209859788417816, -0.047513123601675034, -0.03739476203918457, 0.09661214798688889, 0.030293475836515427, -0.10703713446855545, -0.09412715584039688, -0.06539987772703171, -0.16794845461845398, 0.1440785825252533, 0.048469096422195435, 0.04659512639045715, 0.1259811818599701, 0.20973189175128937, -0.02751186117529869, 0.19170859456062317, -0.13994289934635162, 0.0695955827832222, -0.06156361848115921, 0.06264082342386246, -0.14239001274108887, 0.17953242361545563, -0.018662748858332634, 0.16362349689006805, -0.22717563807964325, -0.1232113242149353, 0.024541333317756653, 0.017008278518915176, -0.1611843854188919, 0.10020459443330765, -0.03730642795562744, 0.02876143902540207, -0.07385766506195068, 0.18518871068954468, 0.02873603254556656, -0.03891270235180855, 0.014332804828882217, -0.1118781641125679, -0.058887120336294174, -0.1397894322872162, 0.09879820048809052, 0.3119344413280487, -0.1633518785238266, 0.19613157212734222, 0.34308239817619324, -0.21626931428909302, 0.02309512346982956, -0.17973211407661438, 0.07780870795249939, -0.09117969870567322]"
0x4b58a6294669505925fc4190d869ef62804f3939,"[-0.07313469052314758, 0.07157400250434875, -0.014445612207055092, 0.09801381081342697, 0.21364016830921173, 0.0005756911123171449, -0.09320487082004547, 0.11277361214160919, -0.09552641212940216, 0.11422879993915558, -0.0893964096903801, 0.010362237691879272, 0.0952426865696907, -0.0024390756152570248, 0.07131028175354004, -0.04816504195332527, -0.03666776418685913, 0.09725350886583328, 0.030791491270065308, -0.10586390644311905, -0.09443650394678116, -0.065606489777565, -0.16833877563476562, 0.14287638664245605, 0.0491882748901844, 0.04677792266011238, 0.12624479830265045, 0.20833998918533325, -0.027195222675800323, 0.19129009544849396, -0.13891835510730743, 0.06887512654066086, -0.06000319495797157, 0.06138235703110695, -0.1417122334241867, 0.1800088882446289, -0.018430005759000778, 0.16267338395118713, -0.22729350626468658, -0.12414918839931488, 0.023690251633524895, 0.01824868842959404, -0.16200868785381317, 0.10043089836835861, -0.037307851016521454, 0.02906910702586174, -0.07325379550457001, 0.184844970703125, 0.0300581231713295, -0.037003278732299805, 0.013455740176141262, -0.11276454478502274, -0.057199738919734955, -0.14064088463783264, 0.09831485897302628, 0.3109143078327179, -0.16253401339054108, 0.19788289070129395, 0.343855619430542, -0.21696169674396515, 0.02352925017476082, -0.1805213838815689, 0.07932005077600479, -0.08973659574985504]"
0xe8fdbe8b11d1e0c75f6d6bde79342fe59149995f,"[-0.07208096981048584, 0.06988713145256042, -0.01301430631428957, 0.09790320694446564, 0.21378964185714722, 0.0012717392528429627, -0.09272902458906174, 0.11287922412157059, -0.09450078755617142, 0.11390621960163116, -0.08995162695646286, 0.011139335110783577, 0.09502439200878143, -0.002054547891020775, 0.07209859788417816, -0.047513123601675034, -0.03739476203918457, 0.09661214798688889, 0.030293475836515427, -0.10703713446855545, -0.09412715584039688, -0.06539987772703171, -0.16794845461845398, 0.1440785825252533, 0.048469096422195435, 0.04659512639045715, 0.1259811818599701, 0.20973189175128937, -0.02751186117529869, 0.19170859456062317, -0.13994289934635162, 0.0695955827832222, -0.06156361848115921, 0.06264082342386246, -0.14239001274108887, 0.17953242361545563, -0.018662748858332634, 0.16362349689006805, -0.22717563807964325, -0.1232113242149353, 0.024541333317756653, 0.017008278518915176, -0.1611843854188919, 0.10020459443330765, -0.03730642795562744, 0.02876143902540207, -0.07385766506195068, 0.18518871068954468, 0.02873603254556656, -0.03891270235180855, 0.014332804828882217, -0.1118781641125679, -0.058887120336294174, -0.1397894322872162, 0.09879820048809052, 0.3119344413280487, -0.1633518785238266, 0.19613157212734222, 0.34308239817619324, -0.21626931428909302, 0.02309512346982956, -0.17973211407661438, 0.07780870795249939, -0.09117969870567322]"
0x92524408bd5263a5ab25add57908eeb4f4ba9a16,"[-0.07529585808515549, 0.08167858421802521, -0.01806647703051567, 0.09380035847425461, 0.21019938588142395, 0.003696598345413804, -0.09050596505403519, 0.11017140746116638, -0.10045769810676575, 0.10990110784769058, -0.09212537109851837, 0.01119167823344469, 0.09641683846712112, 0.00010154135088669136, 0.06971840560436249, -0.046153467148542404, -0.033604707568883896, 0.10221877694129944, 0.03337957710027695, -0.10496705025434494, -0.09859631210565567, -0.058255378156900406, -0.17277966439723969, 0.14867953956127167, 0.048279862850904465, 0.044690463691949844, 0.13078513741493225, 0.20546305179595947, -0.031304650008678436, 0.1866099238395691, -0.13845179975032806, 0.0687170922756195, -0.06107885017991066, 0.05899261683225632, -0.14166395366191864, 0.17752999067306519, -0.016102295368909836, 0.16078735888004303, -0.22289425134658813, -0.1301952451467514, 0.027042638510465622, 0.026454709470272064, -0.1578761637210846, 0.10109497606754303, -0.03328486159443855, 0.027683621272444725, -0.06840184330940247, 0.1850215643644333, 0.03256860002875328, -0.029454778879880905, 0.0072668143548071384, -0.11860719323158264, -0.056834105402231216, -0.1438153237104416, 0.09688682854175568, 0.31688225269317627, -0.1588834524154663, 0.20136864483356476, 0.3416726589202881, -0.21049629151821136, 0.022584218531847, -0.1845039576292038, 0.08529116213321686, -0.08647448569536209]"
0xf8f60b1d0aed34269210f373b5cf4c3aaf5043c3,"[-0.07150448858737946, 0.07540947943925858, -0.012613050639629364, 0.09745194762945175, 0.21582511067390442, -0.0006186821847222745, -0.09203564375638962, 0.10834325104951859, -0.09971354156732559, 0.10919204354286194, -0.09314672648906708, 0.011400490999221802, 0.09490001201629639, -0.0016534851165488362, 0.07176176458597183, -0.04874379560351372, -0.034733712673187256, 0.09540258347988129, 0.03181750699877739, -0.10770317912101746, -0.09641464799642563, -0.06232021749019623, -0.16953790187835693, 0.14477252960205078, 0.04683569073677063, 0.04674464091658592, 0.1288003921508789, 0.20640774071216583, -0.02659577503800392, 0.19150392711162567, -0.14126625657081604, 0.07143580913543701, -0.06310252845287323, 0.061020176857709885, -0.14390766620635986, 0.17784015834331512, -0.018148956820368767, 0.1648942530155182, -0.22454318404197693, -0.1269933134317398, 0.024981604889035225, 0.02101798728108406, -0.15903262794017792, 0.10220104455947876, -0.03429285064339638, 0.02781756781041622, -0.07291214913129807, 0.18557646870613098, 0.02900826744735241, -0.03664166107773781, 0.012394391931593418, -0.11266541481018066, -0.055677831172943115, -0.1369256228208542, 0.09911706298589706, 0.31328925490379333, -0.16163675487041473, 0.19995291531085968, 0.3410642147064209, -0.21584287285804749, 0.023308921605348587, -0.18057331442832947, 0.08083508908748627, -0.08694352954626083]"
