node,communities
0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x73326b6764187b7176ed3c00109ddc1e6264eb8b,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xe5caef4af8780e59df925470b050fb23c43ca68c,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x817bbdbc3e8a1204f3691d14bb44992841e3db35,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xc789131504e76f46037bd5d5f5cfc18223e123a5,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xb4d930279552397bba2ee473229f89ec245bc365,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x01691f7bdfa897d4f5316b8c033b3c3c78ea2f77,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x7659ce147d0e714454073a5dd7003544234b6aa0,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xac0104cca91d167873b8601d2e71eb3d4d8c33e0,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
